CODI MESURAMENT,CODI EOI,PROVINCIA,CODI MUNICIPI,CODI ESTACIÓ,NOM ESTACIÓ,MUNICIPI,LATITUD,LONGITUD,ALTITUD,TIPUS ESTACIÓ,ÀREA URBANA,MAGNITUD,CONTAMINANT,UNITATS,PUNT MOSTREIG,ANY,MES,DIA,DATA,H01,V01,H02,V02,H03,V03,H04,V04,H05,V05,H06,V06,H07,V07,H08,V08,H09,V09,H10,V10,H11,V11,H12,V12,H13,V13,H14,V14,H15,V15,H16,V16,H17,V17,H18,V18,H19,V19,H20,V20,H21,V21,H22,V22,H23,V23,H24,V24,Georeferència
08019043_10_20200131,8019043,8,19,43,Barcelona (Eixample),Barcelona,41.385315,2.1537998,26,traffic,urban,10,PM10,µg/m3,08019043_10_47,2020,1,31,31/01/2020,24,V,22,V,10,V,19,V,18,V,21,V,24,V,40,V,89,V,84,V,59,V,45,V,86,V,73,V,28,V,30,V,28,V,27,V,25,V,30,V,32,V,41,V,49,V,45,V,"(41.385315, 2.1537998)"
08019043_10_20200105,8019043,8,19,43,Barcelona (Eixample),Barcelona,41.385315,2.1537998,26,traffic,urban,10,PM10,µg/m3,08019043_10_47,2020,1,5,05/01/2020,8,V,10,V,13,V,4,V,3,V,5,V,6,V,5,V,11,V,12,V,13,V,16,V,16,V,25,V,25,V,25,V,16,V,18,V,21,V,27,V,30,V,31,V,38,V,28,V,"(41.385315, 2.1537998)"
08019043_10_20200106,8019043,8,19,43,Barcelona (Eixample),Barcelona,41.385315,2.1537998,26,traffic,urban,10,PM10,µg/m3,08019043_10_47,2020,1,6,06/01/2020,17,V,19,V,19,V,15,V,17,V,12,V,14,V,20,V,17,V,21,V,19,V,20,V,21,V,22,V,24,V,21,V,22,V,26,V,27,V,25,V,32,V,34,V,41,V,36,V,"(41.385315, 2.1537998)"
08019043_10_20200107,8019043,8,19,43,Barcelona (Eixample),Barcelona,41.385315,2.1537998,26,traffic,urban,10,PM10,µg/m3,08019043_10_47,2020,1,7,07/01/2020,26,V,24,V,26,V,21,V,13,V,14,V,14,V,15,V,19,V,22,V,21,V,29,V,32,V,30,V,26,V,17,V,22,V,43,V,39,V,34,V,36,V,37,V,33,V,36,V,"(41.385315, 2.1537998)"
08019043_10_20200102,8019043,8,19,43,Barcelona (Eixample),Barcelona,41.385315,2.1537998,26,traffic,urban,10,PM10,µg/m3,08019043_10_47,2020,1,2,02/01/2020,20,V,15,V,15,V,13,V,16,V,17,V,15,V,18,V,20,V,22,V,20,V,24,V,19,V,19,V,19,V,20,V,23,V,28,V,34,V,31,V,25,V,22,V,19,V,19,V,"(41.385315, 2.1537998)"
08019043_10_20200101,8019043,8,19,43,Barcelona (Eixample),Barcelona,41.385315,2.1537998,26,traffic,urban,10,PM10,µg/m3,08019043_10_47,2020,1,1,01/01/2020,13,V,26,V,14,V,14,V,14,V,15,V,13,V,23,V,20,V,18,V,19,V,17,V,15,V,15,V,18,V,18,V,18,V,18,V,18,V,20,V,18,V,15,V,17,V,23,V,"(41.385315, 2.1537998)"
08019043_10_20200103,8019043,8,19,43,Barcelona (Eixample),Barcelona,41.385315,2.1537998,26,traffic,urban,10,PM10,µg/m3,08019043_10_47,2020,1,3,03/01/2020,22,V,16,V,11,V,11,V,13,V,12,V,13,V,14,V,15,V,16,V,26,V,26,V,31,V,21,V,21,V,23,V,28,V,22,V,26,V,27,V,26,V,26,V,35,V,30,V,"(41.385315, 2.1537998)"
08019043_10_20200104,8019043,8,19,43,Barcelona (Eixample),Barcelona,41.385315,2.1537998,26,traffic,urban,10,PM10,µg/m3,08019043_10_47,2020,1,4,04/01/2020,17,V,14,V,13,V,15,V,14,V,18,V,25,V,29,V,28,V,34,V,37,V,34,V,21,V,21,V,14,V,14,V,15,V,16,V,15,V,13,V,11,V,11,V,18,V,19,V,"(41.385315, 2.1537998)"
08019043_10_20200108,8019043,8,19,43,Barcelona (Eixample),Barcelona,41.385315,2.1537998,26,traffic,urban,10,PM10,µg/m3,08019043_10_47,2020,1,8,08/01/2020,29,V,23,V,21,V,22,V,25,V,27,V,31,V,57,V,82,V,61,V,59,V,52,V,40,V,42,V,24,V,18,V,24,V,26,V,30,V,33,V,38,V,43,V,44,V,40,V,"(41.385315, 2.1537998)"
08019043_10_20200110,8019043,8,19,43,Barcelona (Eixample),Barcelona,41.385315,2.1537998,26,traffic,urban,10,PM10,µg/m3,08019043_10_47,2020,1,10,10/01/2020,15,V,21,V,21,V,19,V,19,V,14,V,20,V,19,V,18,V,17,V,11,V,9,V,12,V,14,V,16,V,10,V,12,V,21,V,14,V,14,V,16,V,25,V,27,V,28,V,"(41.385315, 2.1537998)"
