lastUpdated,parameter,value,unit,sourceName,country,city,location,averagingPeriod.value,averagingPeriod.unit
2020-03-06 19:00:00+00:00,o3,76,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Barcelona,ES1923A,1,hours
2020-03-06 19:00:00+00:00,no2,16,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Barcelona,ES1929A,1,hours
2020-03-06 19:00:00+00:00,so2,1,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Barcelona,ES1929A,1,hours
2019-12-24 17:00:00+00:00,so2,0,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Barcelona,ES1964A,1,hours
2019-12-24 17:00:00+00:00,no2,0,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Barcelona,ES1964A,1,hours
2020-03-06 17:00:00+00:00,so2,2,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Barcelona,ES1983A,1,hours
2020-03-06 17:00:00+00:00,no2,10,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Barcelona,ES1983A,1,hours
2020-03-06 17:00:00+00:00,co,300,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Barcelona,ES1983A,1,hours
2020-03-06 17:00:00+00:00,o3,83,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Barcelona,ES1983A,1,hours
2020-03-06 19:00:00+00:00,o3,77,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Barcelona,ES1992A,1,hours
2020-03-06 19:00:00+00:00,no2,7,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Barcelona,ES1992A,1,hours
2020-03-06 19:00:00+00:00,co,200,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Barcelona,ES1992A,1,hours
2020-03-06 19:00:00+00:00,so2,1,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Barcelona,ES1992A,1,hours
2020-03-06 17:00:00+00:00,so2,2,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Barcelona,ES2011A,1,hours
2020-03-06 17:00:00+00:00,no2,9,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Barcelona,ES2011A,1,hours
2020-03-06 17:00:00+00:00,no2,5,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Barcelona,ES2012A,1,hours
2020-03-06 17:00:00+00:00,so2,1,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Barcelona,ES2012A,1,hours
