CODI MESURAMENT,CODI EOI,PROVINCIA,CODI MUNICIPI,CODI ESTACIÓ,NOM ESTACIÓ,MUNICIPI,LATITUD,LONGITUD,ALTITUD,TIPUS ESTACIÓ,ÀREA URBANA,MAGNITUD,CONTAMINANT,UNITATS,PUNT MOSTREIG,ANY,MES,DIA,DATA,H01,V01,H02,V02,H03,V03,H04,V04,H05,V05,H06,V06,H07,V07,H08,V08,H09,V09,H10,V10,H11,V11,H12,V12,H13,V13,H14,V14,H15,V15,H16,V16,H17,V17,H18,V18,H19,V19,H20,V20,H21,V21,H22,V22,H23,V23,H24,V24,Georeferència
08089005_14_20200124,8089005,8,89,5,Gavà,Gavà,41.303097,1.9914981,25,background,suburban,14,O3,µg/m3,08089005_14_6,2020,1,24,24/01/2020,23,V,36,V,46,V,29,V,24,V,18,V,16,V,10,V,9,V,6,V,7,V,13,V,25,V,42,V,57,V,66,V,62,V,25,V,29,V,23,V,18,V,20,V,14,V,17,V,"(41.303097, 1.9914981)"
08089005_14_20200123,8089005,8,89,5,Gavà,Gavà,41.303097,1.9914981,25,background,suburban,14,O3,µg/m3,08089005_14_6,2020,1,23,23/01/2020,73,V,76,V,78,V,77,V,66,V,45,V,22,V,8,V,16,V,47,V,53,V,64,V,70,V,72,V,75,V,75,V,67,V,39,V,13,V,18,V,20,V,22,V,25,V,24,V,"(41.303097, 1.9914981)"
08089005_14_20200122,8089005,8,89,5,Gavà,Gavà,41.303097,1.9914981,25,background,suburban,14,O3,µg/m3,08089005_14_6,2020,1,22,22/01/2020,92,V,82,V,72,V,68,V,69,V,71,V,69,V,61,V,59,V,51,V,38,V,44,V,61,V,61,V,53,V,58,V,64,V,58,V,65,V,67,V,72,V,72,V,74,V,72,V,"(41.303097, 1.9914981)"
08089005_14_20200121,8089005,8,89,5,Gavà,Gavà,41.303097,1.9914981,25,background,suburban,14,O3,µg/m3,08089005_14_6,2020,1,21,21/01/2020,69,V,68,V,67,V,67,V,66,V,65,V,61,V,58,V,54,V,55,V,60,V,59,V,61,V,63,V,64,V,64,V,64,V,64,V,67,V,68,V,70,V,70,V,91,V,85,V,"(41.303097, 1.9914981)"
08089005_14_20200120,8089005,8,89,5,Gavà,Gavà,41.303097,1.9914981,25,background,suburban,14,O3,µg/m3,08089005_14_6,2020,1,20,20/01/2020,82,V,81,V,83,V,83,V,81,V,80,V,76,V,72,V,69,V,66,V,66,V,64,V,65,V,65,V,65,V,66,V,64,V,62,V,61,V,63,V,64,V,64,V,67,V,69,V,"(41.303097, 1.9914981)"
08089005_14_20200119,8089005,8,89,5,Gavà,Gavà,41.303097,1.9914981,25,background,suburban,14,O3,µg/m3,08089005_14_6,2020,1,19,19/01/2020,39,V,49,V,39,V,42,V,48,V,56,V,57,V,59,V,61,V,62,V,60,V,68,V,71,V,69,V,71,V,76,V,77,V,79,V,78,V,78,V,77,V,80,V,80,V,82,V,"(41.303097, 1.9914981)"
08089005_14_20200118,8089005,8,89,5,Gavà,Gavà,41.303097,1.9914981,25,background,suburban,14,O3,µg/m3,08089005_14_6,2020,1,18,18/01/2020,28,V,42,V,41,V,57,V,40,V,48,V,63,V,65,V,64,V,49,V,37,V,42,V,51,V,70,V,77,V,77,V,75,V,59,V,63,V,46,V,32,V,27,V,19,V,20,V,"(41.303097, 1.9914981)"
08089005_14_20200117,8089005,8,89,5,Gavà,Gavà,41.303097,1.9914981,25,background,suburban,14,O3,µg/m3,08089005_14_6,2020,1,17,17/01/2020,11,V,14,V,16,V,17,V,14,V,15,V,9,V,4,V,3,V,6,V,18,V,73,V,77,V,79,V,83,V,78,V,77,V,77,V,82,V,80,V,52,V,58,V,49,V,29,V,"(41.303097, 1.9914981)"
08089005_14_20200116,8089005,8,89,5,Gavà,Gavà,41.303097,1.9914981,25,background,suburban,14,O3,µg/m3,08089005_14_6,2020,1,16,16/01/2020,21,V,26,V,28,V,28,V,36,V,23,V,13,V,5,V,4,V,4,V,5,V,11,V,40,V,56,V,67,V,72,V,69,V,57,V,44,V,21,V,22,V,10,V,11,V,11,V,"(41.303097, 1.9914981)"
08089005_14_20200115,8089005,8,89,5,Gavà,Gavà,41.303097,1.9914981,25,background,suburban,14,O3,µg/m3,08089005_14_6,2020,1,15,15/01/2020,15,V,16,V,16,V,16,V,18,V,14,V,8,V,5,V,8,V,8,V,7,V,9,V,43,V,71,V,81,V,80,V,58,V,71,V,71,V,73,V,34,V,25,V,22,V,22,V,"(41.303097, 1.9914981)"
