,location,parameter,value,country,city,latitude,longitude,date
196,ES1992A,o3,74,ES,Barcelona,41.3874846394672,2.115149666,2020_03_08-07:00:00
197,ES1679A,o3,33,ES,Barcelona,41.3864139334672,2.187416735,2020_03_08-07:00:00
198,ES1222A,o3,18,ES,Barcelona,41.6912731944666,2.440944864,2020_03_08-07:00:00
199,ES1125A,o3,16,ES,Barcelona,41.7302802604665,1.825306423,2020_03_08-08:00:00
200,ES1891A,o3,3,ES,Barcelona,41.5986669004668,2.287117688,2020_03_08-08:00:00
201,ES1339A,o3,37,ES,Barcelona,41.2190364604676,1.721248774,2020_03_08-08:00:00
202,ES1018A,o3,31,ES,Barcelona,41.5561153974668,2.007401267,2020_03_08-08:00:00
203,ES1262A,o3,27,ES,Barcelona,41.5611753964668,2.101405057,2020_03_08-08:00:00
204,ES1992A,o3,62,ES,Barcelona,41.3874846394672,2.115149666,2020_03_08-08:00:00
205,ES1679A,o3,16,ES,Barcelona,41.3864139334672,2.187416735,2020_03_08-08:00:00
206,ES1892A,o3,31,ES,Barcelona,41.4439835604671,2.237875306,2020_03_08-08:00:00
207,ES0694A,o3,5,ES,Barcelona,41.3921574584672,2.009802277,2020_03_08-08:00:00
208,ES1923A,o3,24,ES,Barcelona,41.8460342084663,2.217575622,2020_03_08-08:00:00
209,ES1778A,o3,61,ES,Barcelona,41.7793434514664,2.358018901,2020_03_08-08:00:00
210,ES1222A,o3,18,ES,Barcelona,41.6912731944666,2.440944864,2020_03_08-08:00:00
211,ES1856A,o3,33,ES,Barcelona,41.4260771994671,2.147992032,2020_03_08-08:00:00
212,ES1148A,o3,7,ES,Barcelona,41.4256209034672,2.222244805,2020_03_08-08:00:00
213,ES1480A,o3,38,ES,Barcelona,41.3987432504672,2.153385124,2020_03_08-08:00:00
214,ES0584A,o3,5,ES,Barcelona,41.482016278467,2.188296656,2020_03_08-08:00:00
215,ES1816A,o3,55,ES,Barcelona,41.5471597114669,2.443253787,2020_03_08-08:00:00
216,ES1851A,o3,45,ES,Barcelona,42.0979101924658,1.848237224,2020_03_08-08:00:00
217,ES1397A,o3,21,ES,Barcelona,42.0032765034659,2.287271914,2020_03_08-08:00:00
218,ES1815A,o3,20,ES,Barcelona,41.3468230374673,1.686575492,2020_03_08-08:00:00
219,ES1438A,o3,29,ES,Barcelona,41.3853432834672,2.15382196,2020_03_08-08:00:00
220,ES1684A,o3,4,ES,Barcelona,41.492082862467,2.042497085,2020_03_08-08:00:00
221,ES1275A,o3,4,ES,Barcelona,41.6890494414666,2.495746675,2020_03_08-08:00:00
222,ES1642A,o3,7,ES,Barcelona,41.9356663994661,2.238568301,2020_03_08-08:00:00
223,ES1135A,o3,15,ES,Barcelona,41.5776268914668,1.625893365,2020_03_08-08:00:00
224,ES1642A,o3,14,ES,Barcelona,41.9356663994661,2.238568301,2020_03_08-09:00:00
225,ES1684A,o3,20,ES,Barcelona,41.492082862467,2.042497085,2020_03_08-09:00:00
226,ES1778A,o3,55,ES,Barcelona,41.7793434514664,2.358018901,2020_03_08-09:00:00
227,ES1815A,o3,24,ES,Barcelona,41.3468230374673,1.686575492,2020_03_08-09:00:00
228,ES1339A,o3,35,ES,Barcelona,41.2190364604676,1.721248774,2020_03_08-09:00:00
229,ES1397A,o3,18,ES,Barcelona,42.0032765034659,2.287271914,2020_03_08-09:00:00
230,ES1222A,o3,25,ES,Barcelona,41.6912731944666,2.440944864,2020_03_08-09:00:00
231,ES0694A,o3,11,ES,Barcelona,41.3921574584672,2.009802277,2020_03_08-09:00:00
232,ES1923A,o3,26,ES,Barcelona,41.8460342084663,2.217575622,2020_03_08-09:00:00
233,ES1262A,o3,29,ES,Barcelona,41.5611753964668,2.101405057,2020_03_08-09:00:00
234,ES1891A,o3,10,ES,Barcelona,41.5986669004668,2.287117688,2020_03_08-09:00:00
235,ES1275A,o3,9,ES,Barcelona,41.6890494414666,2.495746675,2020_03_08-09:00:00
236,ES1480A,o3,44,ES,Barcelona,41.3987432504672,2.153385124,2020_03_08-09:00:00
237,ES1816A,o3,59,ES,Barcelona,41.5471597114669,2.443253787,2020_03_08-09:00:00
238,ES1135A,o3,18,ES,Barcelona,41.5776268914668,1.625893365,2020_03_08-09:00:00
239,ES1851A,o3,45,ES,Barcelona,42.0979101924658,1.848237224,2020_03_08-09:00:00
240,ES1148A,o3,17,ES,Barcelona,41.4256209034672,2.222244805,2020_03_08-09:00:00
241,ES1018A,o3,39,ES,Barcelona,41.5561153974668,2.007401267,2020_03_08-09:00:00
242,ES1892A,o3,37,ES,Barcelona,41.4439835604671,2.237875306,2020_03_08-09:00:00
243,ES0584A,o3,7,ES,Barcelona,41.482016278467,2.188296656,2020_03_08-09:00:00
244,ES1679A,o3,26,ES,Barcelona,41.3864139334672,2.187416735,2020_03_08-09:00:00
245,ES1992A,o3,60,ES,Barcelona,41.3874846394672,2.115149666,2020_03_08-09:00:00
246,ES1438A,o3,32,ES,Barcelona,41.3853432834672,2.15382196,2020_03_08-09:00:00
247,ES1856A,o3,45,ES,Barcelona,41.4260771994671,2.147992032,2020_03_08-09:00:00
248,ES1125A,o3,16,ES,Barcelona,41.7302802604665,1.825306423,2020_03_08-09:00:00
249,ES1018A,o3,48,ES,Barcelona,41.5561153974668,2.007401267,2020_03_08-10:00:00
250,ES1125A,o3,27,ES,Barcelona,41.7302802604665,1.825306423,2020_03_08-10:00:00
251,ES1642A,o3,30,ES,Barcelona,41.9356663994661,2.238568301,2020_03_08-10:00:00
252,ES1438A,o3,38,ES,Barcelona,41.3853432834672,2.15382196,2020_03_08-10:00:00
253,ES1851A,o3,54,ES,Barcelona,42.0979101924658,1.848237224,2020_03_08-10:00:00
254,ES1397A,o3,24,ES,Barcelona,42.0032765034659,2.287271914,2020_03_08-10:00:00
255,ES0584A,o3,18,ES,Barcelona,41.482016278467,2.188296656,2020_03_08-10:00:00
256,ES1778A,o3,60,ES,Barcelona,41.7793434514664,2.358018901,2020_03_08-10:00:00
257,ES1135A,o3,32,ES,Barcelona,41.5776268914668,1.625893365,2020_03_08-10:00:00
258,ES1148A,o3,27,ES,Barcelona,41.4256209034672,2.222244805,2020_03_08-10:00:00
259,ES1923A,o3,37,ES,Barcelona,41.8460342084663,2.217575622,2020_03_08-10:00:00
260,ES1480A,o3,58,ES,Barcelona,41.3987432504672,2.153385124,2020_03_08-10:00:00
261,ES1339A,o3,44,ES,Barcelona,41.2190364604676,1.721248774,2020_03_08-10:00:00
262,ES1856A,o3,58,ES,Barcelona,41.4260771994671,2.147992032,2020_03_08-10:00:00
263,ES0694A,o3,30,ES,Barcelona,41.3921574584672,2.009802277,2020_03_08-10:00:00
264,ES1892A,o3,46,ES,Barcelona,41.4439835604671,2.237875306,2020_03_08-10:00:00
265,ES1815A,o3,44,ES,Barcelona,41.3468230374673,1.686575492,2020_03_08-10:00:00
266,ES1684A,o3,36,ES,Barcelona,41.492082862467,2.042497085,2020_03_08-10:00:00
267,ES1222A,o3,40,ES,Barcelona,41.6912731944666,2.440944864,2020_03_08-10:00:00
268,ES1992A,o3,66,ES,Barcelona,41.3874846394672,2.115149666,2020_03_08-10:00:00
269,ES1679A,o3,56,ES,Barcelona,41.3864139334672,2.187416735,2020_03_08-10:00:00
270,ES1275A,o3,38,ES,Barcelona,41.6890494414666,2.495746675,2020_03_08-10:00:00
271,ES1816A,o3,67,ES,Barcelona,41.5471597114669,2.443253787,2020_03_08-10:00:00
272,ES1262A,o3,33,ES,Barcelona,41.5611753964668,2.101405057,2020_03_08-10:00:00
273,ES1891A,o3,26,ES,Barcelona,41.5986669004668,2.287117688,2020_03_08-10:00:00
274,ES1148A,o3,48,ES,Barcelona,41.4256209034672,2.222244805,2020_03_08-11:00:00
275,ES1480A,o3,63,ES,Barcelona,41.3987432504672,2.153385124,2020_03_08-11:00:00
276,ES1778A,o3,66,ES,Barcelona,41.7793434514664,2.358018901,2020_03_08-11:00:00
277,ES1815A,o3,58,ES,Barcelona,41.3468230374673,1.686575492,2020_03_08-11:00:00
